racecourse,surface,distance,going,sampleYears,sampleCount,medianFinal3FSeconds,source
中京,turf,2000,良,2023-2025,2,35.150000000000006,JRA公式 full-field final3F; median of race-level medians; provisional low reliability
中京,turf,2000,重,2023-2025,1,36.95,JRA公式 full-field final3F; median of race-level medians; provisional low reliability
中京,turf,2000,ALL,2023-2025,3,35.6,JRA公式 full-field final3F; median of race-level medians; provisional low reliability
