priorityHorse,targetRace,targetRaceDate,targetRacecourse,lookbackOrder,raceDate,racecourse,raceName,surface,distance,going,finishPosition,carriedWeightKg,actualRaceTime,jraRatingRt,horsePageSource,status
エリキング,京都記念,2026-02-15,京都,5,2024-11-23,京都,京都2歳S,turf,2000,良,1,56.0,2:00.9,112.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105099%2F03,JRA_horse_page_verified_metadata
エコロディノス,京都記念,2026-02-15,京都,1,2025-12-14,阪神,オリオンS,turf,2200,良,1,56.0,2:11.6,,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105073%2F31,JRA_horse_page_verified_metadata
エコロディノス,京都記念,2026-02-15,京都,2,2025-11-01,京都,北野特別,turf,2000,良,1,56.0,1:59.5,,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105073%2F31,JRA_horse_page_verified_metadata
エコロディノス,京都記念,2026-02-15,京都,3,2025-09-14,阪神,能勢特別,turf,2000,良,3,55.0,2:01.5,,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105073%2F31,JRA_horse_page_verified_metadata
エコロディノス,京都記念,2026-02-15,京都,4,2025-06-15,阪神,3歳上1勝クラス,turf,2000,稍重,1,55.0,2:00.5,,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105073%2F31,JRA_horse_page_verified_metadata
エコロディノス,京都記念,2026-02-15,京都,5,2025-03-29,阪神,毎日杯,turf,1800,良,5,57.0,1:46.7,101.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105073%2F31,JRA_horse_page_verified_metadata
ジョバンニ,金鯱賞,2026-03-15,中京,1,2026-01-25,中山,AJCC,turf,2200,良,7,56.0,2:11.5,108.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022103995%2F12,JRA_horse_page_verified_metadata
ジョバンニ,金鯱賞,2026-03-15,中京,2,2025-10-26,京都,菊花賞,turf,3000,稍重,8,57.0,3:04.7,111.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022103995%2F12,JRA_horse_page_verified_metadata
ジョバンニ,金鯱賞,2026-03-15,中京,3,2025-09-21,阪神,神戸新聞杯,turf,2400,良,3,57.0,2:26.8,112.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022103995%2F12,JRA_horse_page_verified_metadata
ジョバンニ,金鯱賞,2026-03-15,中京,4,2025-06-01,東京,東京優駿,turf,2400,良,8,57.0,2:24.5,112.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022103995%2F12,JRA_horse_page_verified_metadata
ジョバンニ,金鯱賞,2026-03-15,中京,5,2025-04-20,中山,皐月賞,turf,2000,良,4,57.0,1:57.4,115.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022103995%2F12,JRA_horse_page_verified_metadata
クイーンズウォーク,金鯱賞,2026-03-15,中京,1,2025-11-02,東京,天皇賞(秋),turf,2000,良,9,56.0,1:59.0,112.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105414%2F7C,JRA_horse_page_verified_metadata
クイーンズウォーク,金鯱賞,2026-03-15,中京,2,2025-05-18,東京,ヴィクトリアマイル,turf,1600,良,2,56.0,1:32.1,111.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105414%2F7C,JRA_horse_page_verified_metadata
クイーンズウォーク,金鯱賞,2026-03-15,中京,3,2025-03-16,中京,金鯱賞,turf,2000,重,1,55.0,2:01.3,111.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105414%2F7C,JRA_horse_page_verified_metadata
クイーンズウォーク,金鯱賞,2026-03-15,中京,4,2025-01-25,小倉,小倉牝馬S,turf,2000,良,6,55.5,1:58.7,107.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105414%2F7C,JRA_horse_page_verified_metadata
クイーンズウォーク,金鯱賞,2026-03-15,中京,5,2024-10-13,京都,秋華賞,turf,2000,良,15,55.0,1:59.6,88.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105414%2F7C,JRA_horse_page_verified_metadata
